pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl24cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb23cd
"AL1 1AA","AL1  1AA","AL1 1AA","199002","199405","1","514600","0206900","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749090,-0.341314,"E37000048","","E23000027",30564,"E54000025"
"AL1 1AB","AL1  1AB","AL1 1AB","200401","200401","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AD","AL1  1AD","AL1 1AD","199208","200803","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AE","AL1  1AE","AL1 1AE","200711","201507","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AF","AL1  1AF","AL1 1AF","199507","199612","1","514600","0206900","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749090,-0.341314,"E37000048","","E23000027",30564,"E54000025"
"AL1 1AG","AL1  1AG","AL1 1AG","199612","","0","515487","0206498","1","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.745295,-0.328605,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AH","AL1  1AH","AL1 1AH","199612","199912","0","515562","0206455","3","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744893,-0.327533,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AJ","AL1  1AJ","AL1 1AJ","199612","","0","515491","0206410","1","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744503,-0.328576,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AL","AL1  1AL","AL1 1AL","199612","200509","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AN","AL1  1AN","AL1 1AN","199706","199912","1","515429","0206407","6","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744489,-0.329474,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AP","AL1  1AP","AL1 1AP","199706","199912","1","515429","0206407","6","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744489,-0.329474,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AQ","AL1  1AQ","AL1 1AQ","199712","200308","1","515713","0206312","1","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.743577,-0.325394,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AR","AL1  1AR","AL1 1AR","200804","","0","516270","0205897","1","E00120276","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011552","UN1","5A2",51.739732,-0.317469,"E37000048","","E23000027",28935,"E54000025"
